sym,dis
Burning skin sensation - precedes visible skin manifestation,Dermatitis herpetiformis related allergy
Symptoms of celiac disease,Dermatitis herpetiformis related allergy
Skin blisters,Dermatitis herpetiformis related allergy
Itchy skin bumps,Dermatitis herpetiformis related allergy
Skin rashes,Dermatitis herpetiformis related allergy
Skin swelling,Jewellery allergy
Localized skin itching,Jewellery allergy
Localized skin blistering,Jewellery allergy
Localized skin redness,Jewellery allergy
Itchy skin,Mercaptobenzothiazole allergy
Skin redness,Mercaptobenzothiazole allergy
Skin pain,Mercaptobenzothiazole allergy
Dermatitis,Mercaptobenzothiazole allergy
Skin swelling,Mercaptobenzothiazole allergy
Skin blisters,Mercaptobenzothiazole allergy
Skin irritation,Mercaptobenzothiazole allergy
Skin rashes,Mercaptobenzothiazole allergy
Sinus pain,Grass pollen allergy
Conjunctivitis,Grass pollen allergy
Cough,Grass pollen allergy
Nose rubbing,Grass pollen allergy
Breathing difficulties,Grass pollen allergy
Headaches,Grass pollen allergy
Runny nose,Grass pollen allergy
Itchy throat,Grass pollen allergy
Shortness of breath or wheezing,Grass pollen allergy
Dark circles under eyes,Grass pollen allergy
Sneezing,Grass pollen allergy
Itching,Grass pollen allergy
Red eyes,Grass pollen allergy
Itchy eyes,Grass pollen allergy
Asthma,Grass pollen allergy
Tearing eyes,Grass pollen allergy
Sinus pain,House dust allergy
Conjunctivitis,House dust allergy
Cough,House dust allergy
Nose rubbing,House dust allergy
Chest tightness,House dust allergy
Breathing difficulties,House dust allergy
Headaches,House dust allergy
Runny nose,House dust allergy
Itchy throat,House dust allergy
Shortness of breath or wheezing,House dust allergy
Dark circles under eyes,House dust allergy
Sneezing,House dust allergy
Itching,House dust allergy
Red eyes,House dust allergy
Itchy eyes,House dust allergy
Skin rashes,House dust allergy
Asthma,House dust allergy
Tearing eyes,House dust allergy
Hives,Semen allergy
Itchy skin,Semen allergy
Breathing difficulties,Semen allergy
Vaginal swelling,Semen allergy
Vaginal blistering,Semen allergy
Vaginal itching,Semen allergy
Vaginal redness,Semen allergy
Vaginal burning,Semen allergy
Vaginal pain,Semen allergy
Nausea,Pollen allergy
Rhinitis,Pollen allergy
Angioedema,Pollen allergy
Cough,Pollen allergy
Bronchospasm,Pollen allergy
Headaches,Pollen allergy
Diarrhoea,Pollen allergy
Urticaria,Pollen allergy
Abdominal pain,Pollen allergy
Pruritus,Pollen allergy
Syncope,Pollen allergy
Chest tightness,Food allergy related asthma
Breathing difficulties,Food allergy related asthma
Chest pain,Food allergy related asthma
Shortness of breath or wheezing,Food allergy related asthma
Chest pressure,Food allergy related asthma
Constricted airways,Food allergy related asthma
Shortness of breath,Food allergy related asthma
Rapid breathing,Food allergy related asthma
Coughing,Food allergy related asthma
Nausea,Local anaesthetic allergy
Anaphylaxis,Local anaesthetic allergy
Abnormal heart rhythm,Local anaesthetic allergy
Hives,Local anaesthetic allergy
Reduced blood pressure,Local anaesthetic allergy
Throat swelling,Local anaesthetic allergy
Muscle aching,Local anaesthetic allergy
Itchy skin,Local anaesthetic allergy
Skin redness,Local anaesthetic allergy
Swelling around lips,Local anaesthetic allergy
Tongue swelling,Local anaesthetic allergy
Death,Local anaesthetic allergy
Facial swelling,Local anaesthetic allergy
Breathing difficulties,Local anaesthetic allergy
Swollen lymph nodes,Local anaesthetic allergy
Shortness of breath or wheezing,Local anaesthetic allergy
Sun sensitive skin,Local anaesthetic allergy
Changes in urine color,Local anaesthetic allergy
Fever,Local anaesthetic allergy
Aching joints,Local anaesthetic allergy
Itchy eyes,Local anaesthetic allergy
Skin rashes,Local anaesthetic allergy
Nausea,Morphine allergy
Anaphylaxis,Morphine allergy
Abnormal heart rhythm,Morphine allergy
Hives,Morphine allergy
Reduced blood pressure,Morphine allergy
Throat swelling,Morphine allergy
Muscle aching,Morphine allergy
Itchy skin,Morphine allergy
Skin redness,Morphine allergy
Swelling around lips,Morphine allergy
Tongue swelling,Morphine allergy
Death,Morphine allergy
Facial swelling,Morphine allergy
Breathing difficulties,Morphine allergy
Swollen lymph nodes,Morphine allergy
Shortness of breath or wheezing,Morphine allergy
Sun sensitive skin,Morphine allergy
Changes in urine color,Morphine allergy
Fever,Morphine allergy
Aching joints,Morphine allergy
Itchy eyes,Morphine allergy
Skin rashes,Morphine allergy
Eczema,Bubble bath allergy
Skin pain,Bubble bath allergy
Skin blisters,Bubble bath allergy
Skin irritation,Bubble bath allergy
Skin bumps,Bubble bath allergy
Itching,Bubble bath allergy
Burning skin sensation,Bubble bath allergy
Skin rashes,Bubble bath allergy
Hives,Non-food allergy -- dust mites
Watery eyes,Non-food allergy -- dust mites
Sinus pain,Non-food allergy -- dust mites
Eczema,Non-food allergy -- dust mites
Cough,Non-food allergy -- dust mites
Breathing difficulties,Non-food allergy -- dust mites
Headaches,Non-food allergy -- dust mites
Runny nose,Non-food allergy -- dust mites
Shortness of breath or wheezing,Non-food allergy -- dust mites
Abdominal pain,Non-food allergy -- dust mites
Sneezing,Non-food allergy -- dust mites
Itching,Non-food allergy -- dust mites
Red eyes,Non-food allergy -- dust mites
Itchy eyes,Non-food allergy -- dust mites
Asthma,Non-food allergy -- dust mites
Sleep disturbances,Non-food allergy -- dust mites
Nausea,Rodent allergy
Sore throat,Rodent allergy
Watery eyes,Rodent allergy
Eczema,Rodent allergy
Itchy skin,Rodent allergy
Breathing difficulties,Rodent allergy
Sore eyes,Rodent allergy
Red skin,Rodent allergy
Runny nose,Rodent allergy
Itchy throat,Rodent allergy
Shortness of breath or wheezing,Rodent allergy
Sneezing,Rodent allergy
Swollen eyes,Rodent allergy
Red eyes,Rodent allergy
Itchy eyes,Rodent allergy
Itchy nose,Rodent allergy
Coughing,Rodent allergy
Sinus pain,Non-food allergy -- willow tree
Conjunctivitis,Non-food allergy -- willow tree
Cough,Non-food allergy -- willow tree
Nose rubbing,Non-food allergy -- willow tree
Breathing difficulties,Non-food allergy -- willow tree
Headaches,Non-food allergy -- willow tree
Runny nose,Non-food allergy -- willow tree
Itchy throat,Non-food allergy -- willow tree
Shortness of breath or wheezing,Non-food allergy -- willow tree
Dark circles under eyes,Non-food allergy -- willow tree
Sneezing,Non-food allergy -- willow tree
Itching,Non-food allergy -- willow tree
Red eyes,Non-food allergy -- willow tree
Itchy eyes,Non-food allergy -- willow tree
Asthma,Non-food allergy -- willow tree
Tearing eyes,Non-food allergy -- willow tree
Sinus pain,Non-food allergy -- willow tree
Itchy skin,Isothiazolinone allergy
Skin redness,Isothiazolinone allergy
Skin pain,Isothiazolinone allergy
Dermatitis,Isothiazolinone allergy
Skin swelling,Isothiazolinone allergy
Skin blisters,Isothiazolinone allergy
Skin irritation,Isothiazolinone allergy
Skin rashes,Isothiazolinone allergy
Hives,Sun allergy
Itchy skin rash,Sun allergy
Skin blisters,Sun allergy
Anaphylaxis,Allergy-like conditions
Hives,Allergy-like conditions
Angioedema,Allergy-like conditions
Skin problems,Allergy-like conditions
Eczema,Allergy-like conditions
Contact dermatitis,Allergy-like conditions
Breathing difficulties,Allergy-like conditions
Digestive problems,Allergy-like conditions
Runny nose,Allergy-like conditions
Diarrhea,Allergy-like conditions
Sneezing,Allergy-like conditions
Itching,Allergy-like conditions
Streaming eyes,Allergy-like conditions
Skin rashes,Allergy-like conditions
Eczema,Sunscreen allergy
Skin pain,Sunscreen allergy
Skin blisters,Sunscreen allergy
Skin irritation,Sunscreen allergy
Skin bumps,Sunscreen allergy
Itching,Sunscreen allergy
Burning skin sensation,Sunscreen allergy
Skin rashes,Sunscreen allergy
Hives,Nickel contact allergy
Localized skin rash,Nickel contact allergy
Eczema,Nickel contact allergy
Wheals,Nickel contact allergy
Skin pain,Nickel contact allergy
Skin swelling,Nickel contact allergy
Scaling skin,Nickel contact allergy
Skin irritation,Nickel contact allergy
Localized skin itching,Nickel contact allergy
Localized skin blistering,Nickel contact allergy
Skin inflammation,Nickel contact allergy
Localized skin redness,Nickel contact allergy
Eczema,Soap allergy
Skin pain,Soap allergy
Skin blisters,Soap allergy
Skin irritation,Soap allergy
Skin bumps,Soap allergy
Itching,Soap allergy
Burning skin sensation,Soap allergy
Skin rashes,Soap allergy
Hives,Chrome contact allergy
Eczema,Chrome contact allergy
Itchy skin,Chrome contact allergy
Skin redness,Chrome contact allergy
Wheals,Chrome contact allergy
Skin pain,Chrome contact allergy
Skin swelling,Chrome contact allergy
Scaling skin,Chrome contact allergy
Skin irritation,Chrome contact allergy
Skin blistering,Chrome contact allergy
Skin inflammation,Chrome contact allergy
Skin rashes,Chrome contact allergy
Nausea,Non-food allergy -- wood tar
Watery eyes,Non-food allergy -- wood tar
Loss of voice,Non-food allergy -- wood tar
Itchy skin,Non-food allergy -- wood tar
Skin redness,Non-food allergy -- wood tar
Tingling lips,Non-food allergy -- wood tar
Breathing difficulties,Non-food allergy -- wood tar
Headaches,Non-food allergy -- wood tar
Runny nose,Non-food allergy -- wood tar
Shortness of breath or wheezing,Non-food allergy -- wood tar
Joint pain,Non-food allergy -- wood tar
Sneezing,Non-food allergy -- wood tar
Muscle pain,Non-food allergy -- wood tar
Hoarse voice,Non-food allergy -- wood tar
Migraines,Non-food allergy -- wood tar
Itchy eyes,Non-food allergy -- wood tar
Skin rashes,Non-food allergy -- wood tar
Asthma,Non-food allergy -- wood tar
Nausea,Food allergy -- fruit
Sinus pain,Food allergy -- fruit
Eczema,Food allergy -- fruit
Throat swelling,Food allergy -- fruit
Swelling around lips,Food allergy -- fruit
Tongue swelling,Food allergy -- fruit
Mouth tingling,Food allergy -- fruit
Headaches,Food allergy -- fruit
Rash around mouth,Food allergy -- fruit
Itchy mouth,Food allergy -- fruit
Lip redness,Food allergy -- fruit
Constipations,Food allergy -- fruit
Shortness of breath or wheezing,Food allergy -- fruit
Diarrhea,Food allergy -- fruit
Blistering around mouth,Food allergy -- fruit
Abdominal pain,Food allergy -- fruit
Sneezing,Food allergy -- fruit
Itching inside mouth,Food allergy -- fruit
Itching,Food allergy -- fruit
Hoarseness,Food allergy -- fruit
Sinus pain,Non-food allergy -- birch tree
Conjunctivitis,Non-food allergy -- birch tree
Cough,Non-food allergy -- birch tree
Nose rubbing,Non-food allergy -- birch tree
Breathing difficulties,Non-food allergy -- birch tree
Headaches,Non-food allergy -- birch tree
Runny nose,Non-food allergy -- birch tree
Itchy throat,Non-food allergy -- birch tree
Shortness of breath or wheezing,Non-food allergy -- birch tree
Dark circles under eyes,Non-food allergy -- birch tree
Sneezing,Non-food allergy -- birch tree
Itching,Non-food allergy -- birch tree
Red eyes,Non-food allergy -- birch tree
Itchy eyes,Non-food allergy -- birch tree
Asthma,Non-food allergy -- birch tree
Tearing eyes,Non-food allergy -- birch tree
Sinus pain,Non-food allergy -- maple tree
Conjunctivitis,Non-food allergy -- maple tree
Cough,Non-food allergy -- maple tree
Nose rubbing,Non-food allergy -- maple tree
Breathing difficulties,Non-food allergy -- maple tree
Headaches,Non-food allergy -- maple tree
Runny nose,Non-food allergy -- maple tree
Itchy throat,Non-food allergy -- maple tree
Shortness of breath or wheezing,Non-food allergy -- maple tree
Dark circles under eyes,Non-food allergy -- maple tree
Sneezing,Non-food allergy -- maple tree
Itching,Non-food allergy -- maple tree
Red eyes,Non-food allergy -- maple tree
Itchy eyes,Non-food allergy -- maple tree
Asthma,Non-food allergy -- maple tree
Tearing eyes,Non-food allergy -- maple tree
Sinus pain,Non-food allergy -- horse chestnut tree
Conjunctivitis,Non-food allergy -- horse chestnut tree
Cough,Non-food allergy -- horse chestnut tree
Nose rubbing,Non-food allergy -- horse chestnut tree
Breathing difficulties,Non-food allergy -- horse chestnut tree
Headaches,Non-food allergy -- horse chestnut tree
Runny nose,Non-food allergy -- horse chestnut tree
Itchy throat,Non-food allergy -- horse chestnut tree
Shortness of breath or wheezing,Non-food allergy -- horse chestnut tree
Dark circles under eyes,Non-food allergy -- horse chestnut tree
Sneezing,Non-food allergy -- horse chestnut tree
Itching,Non-food allergy -- horse chestnut tree
Red eyes,Non-food allergy -- horse chestnut tree
Itchy eyes,Non-food allergy -- horse chestnut tree
Asthma,Non-food allergy -- horse chestnut tree
Tearing eyes,Non-food allergy -- horse chestnut tree
Sinus pain,Non-food allergy -- beech tree
Conjunctivitis,Non-food allergy -- beech tree
Cough,Non-food allergy -- beech tree
Nose rubbing,Non-food allergy -- beech tree
Breathing difficulties,Non-food allergy -- beech tree
Headaches,Non-food allergy -- beech tree
Runny nose,Non-food allergy -- beech tree
Itchy throat,Non-food allergy -- beech tree
Shortness of breath or wheezing,Non-food allergy -- beech tree
Dark circles under eyes,Non-food allergy -- beech tree
Sneezing,Non-food allergy -- beech tree
Itching,Non-food allergy -- beech tree
Red eyes,Non-food allergy -- beech tree
Itchy eyes,Non-food allergy -- beech tree
Asthma,Non-food allergy -- beech tree
Tearing eyes,Non-food allergy -- beech tree
Sinus pain,Non-food allergy -- ash tree
Conjunctivitis,Non-food allergy -- ash tree
Cough,Non-food allergy -- ash tree
Nose rubbing,Non-food allergy -- ash tree
Breathing difficulties,Non-food allergy -- ash tree
Headaches,Non-food allergy -- ash tree
Runny nose,Non-food allergy -- ash tree
Itchy throat,Non-food allergy -- ash tree
Shortness of breath or wheezing,Non-food allergy -- ash tree
Dark circles under eyes,Non-food allergy -- ash tree
Sneezing,Non-food allergy -- ash tree
Itching,Non-food allergy -- ash tree
Red eyes,Non-food allergy -- ash tree
Itchy eyes,Non-food allergy -- ash tree
Asthma,Non-food allergy -- ash tree
Tearing eyes,Non-food allergy -- ash tree
Nausea,Bird allergy
Sore throat,Bird allergy
Watery eyes,Bird allergy
Eczema,Bird allergy
Itchy skin,Bird allergy
Breathing difficulties,Bird allergy
Sore eyes,Bird allergy
Red skin,Bird allergy
Runny nose,Bird allergy
Itchy throat,Bird allergy
Shortness of breath or wheezing,Bird allergy
Sneezing,Bird allergy
Swollen eyes,Bird allergy
Red eyes,Bird allergy
Itchy eyes,Bird allergy
Itchy nose,Bird allergy
Coughing,Bird allergy
Sinus pain,Non-food allergy -- walnut tree
Conjunctivitis,Non-food allergy -- walnut tree
Cough,Non-food allergy -- walnut tree
Nose rubbing,Non-food allergy -- walnut tree
Breathing difficulties,Non-food allergy -- walnut tree
Headaches,Non-food allergy -- walnut tree
Runny nose,Non-food allergy -- walnut tree
Itchy throat,Non-food allergy -- walnut tree
Shortness of breath or wheezing,Non-food allergy -- walnut tree
Dark circles under eyes,Non-food allergy -- walnut tree
Sneezing,Non-food allergy -- walnut tree
Itching,Non-food allergy -- walnut tree
Red eyes,Non-food allergy -- walnut tree
Itchy eyes,Non-food allergy -- walnut tree
Asthma,Non-food allergy -- walnut tree
Tearing eyes,Non-food allergy -- walnut tree
Sinus pain,Non-food allergy -- wall pellitory
Conjunctivitis,Non-food allergy -- wall pellitory
Cough,Non-food allergy -- wall pellitory
Nose rubbing,Non-food allergy -- wall pellitory
Breathing difficulties,Non-food allergy -- wall pellitory
Headaches,Non-food allergy -- wall pellitory
Runny nose,Non-food allergy -- wall pellitory
Itchy throat,Non-food allergy -- wall pellitory
Shortness of breath or wheezing,Non-food allergy -- wall pellitory
Dark circles under eyes,Non-food allergy -- wall pellitory
Sneezing,Non-food allergy -- wall pellitory
Itching,Non-food allergy -- wall pellitory
Red eyes,Non-food allergy -- wall pellitory
Itchy eyes,Non-food allergy -- wall pellitory
Asthma,Non-food allergy -- wall pellitory
Tearing eyes,Non-food allergy -- wall pellitory
Nausea,Non-food allergy -- coumarin
Watery eyes,Non-food allergy -- coumarin
Loss of voice,Non-food allergy -- coumarin
Itchy skin,Non-food allergy -- coumarin
Skin redness,Non-food allergy -- coumarin
Tingling lips,Non-food allergy -- coumarin
Breathing difficulties,Non-food allergy -- coumarin
Headaches,Non-food allergy -- coumarin
Runny nose,Non-food allergy -- coumarin
Shortness of breath or wheezing,Non-food allergy -- coumarin
Joint pain,Non-food allergy -- coumarin
Sneezing,Non-food allergy -- coumarin
Muscle pain,Non-food allergy -- coumarin
Hoarse voice,Non-food allergy -- coumarin
Migraines,Non-food allergy -- coumarin
Itchy eyes,Non-food allergy -- coumarin
Skin rashes,Non-food allergy -- coumarin
Asthma,Non-food allergy -- coumarin
Nausea,Sparrow allergy
Sore throat,Sparrow allergy
Watery eyes,Sparrow allergy
Eczema,Sparrow allergy
Itchy skin,Sparrow allergy
Breathing difficulties,Sparrow allergy
Sore eyes,Sparrow allergy
Red skin,Sparrow allergy
Runny nose,Sparrow allergy
Itchy throat,Sparrow allergy
Shortness of breath or wheezing,Sparrow allergy
Sneezing,Sparrow allergy
Swollen eyes,Sparrow allergy
Red eyes,Sparrow allergy
Itchy eyes,Sparrow allergy
Itchy nose,Sparrow allergy
Coughing,Sparrow allergy
Nausea,Canary allergy
Sore throat,Canary allergy
Watery eyes,Canary allergy
Eczema,Canary allergy
Itchy skin,Canary allergy
Breathing difficulties,Canary allergy
Sore eyes,Canary allergy
Red skin,Canary allergy
Runny nose,Canary allergy
Itchy throat,Canary allergy
Shortness of breath or wheezing,Canary allergy
Sneezing,Canary allergy
Swollen eyes,Canary allergy
Red eyes,Canary allergy
Itchy eyes,Canary allergy
Itchy nose,Canary allergy
Coughing,Canary allergy
Sinus pain,Non-food allergy -- alder tree
Conjunctivitis,Non-food allergy -- alder tree
Cough,Non-food allergy -- alder tree
Nose rubbing,Non-food allergy -- alder tree
Breathing difficulties,Non-food allergy -- alder tree
Headaches,Non-food allergy -- alder tree
Runny nose,Non-food allergy -- alder tree
Itchy throat,Non-food allergy -- alder tree
Shortness of breath or wheezing,Non-food allergy -- alder tree
Dark circles under eyes,Non-food allergy -- alder tree
Sneezing,Non-food allergy -- alder tree
Itching,Non-food allergy -- alder tree
Red eyes,Non-food allergy -- alder tree
Itchy eyes,Non-food allergy -- alder tree
Asthma,Non-food allergy -- alder tree
Tearing eyes,Non-food allergy -- alder tree
Nausea,Food additive allergy -- antioxidants
Hives,Food additive allergy -- antioxidants
Sinus pain,Food additive allergy -- antioxidants
Eczema,Food additive allergy -- antioxidants
Throat swelling,Food additive allergy -- antioxidants
Mouth tingling,Food additive allergy -- antioxidants
Headaches,Food additive allergy -- antioxidants
Itchy mouth,Food additive allergy -- antioxidants
Shortness of breath or wheezing,Food additive allergy -- antioxidants
Diarrhea,Food additive allergy -- antioxidants
Behavioral changes,Food additive allergy -- antioxidants
Sneezing,Food additive allergy -- antioxidants
Itching,Food additive allergy -- antioxidants
Mood changes,Food additive allergy -- antioxidants
Asthma,Food additive allergy -- antioxidants
Sleep disturbances,Food additive allergy -- antioxidants
Nausea,Turkey allergy
Sore throat,Turkey allergy
Watery eyes,Turkey allergy
Eczema,Turkey allergy
Itchy skin,Turkey allergy
Breathing difficulties,Turkey allergy
Sore eyes,Turkey allergy
Red skin,Turkey allergy
Runny nose,Turkey allergy
Itchy throat,Turkey allergy
Shortness of breath or wheezing,Turkey allergy
Sneezing,Turkey allergy
Swollen eyes,Turkey allergy
Red eyes,Turkey allergy
Itchy eyes,Turkey allergy
Itchy nose,Turkey allergy
Coughing,Turkey allergy
Watery eyes,Cigarette smoke allergy
Cough,Cigarette smoke allergy
Headaches,Cigarette smoke allergy
Burning eyes,Cigarette smoke allergy
Runny nose,Cigarette smoke allergy
Shortness of breath or wheezing,Cigarette smoke allergy
Sneezing,Cigarette smoke allergy
Congestion,Cigarette smoke allergy
Shortness of breath,Cigarette smoke allergy
Hoarseness,Cigarette smoke allergy
Sinus pain,Non-food allergy -- plane tree
Conjunctivitis,Non-food allergy -- plane tree
Cough,Non-food allergy -- plane tree
Nose rubbing,Non-food allergy -- plane tree
Breathing difficulties,Non-food allergy -- plane tree
Headaches,Non-food allergy -- plane tree
Runny nose,Non-food allergy -- plane tree
Itchy throat,Non-food allergy -- plane tree
Shortness of breath or wheezing,Non-food allergy -- plane tree
Dark circles under eyes,Non-food allergy -- plane tree
Sneezing,Non-food allergy -- plane tree
Itching,Non-food allergy -- plane tree
Red eyes,Non-food allergy -- plane tree
Itchy eyes,Non-food allergy -- plane tree
Asthma,Non-food allergy -- plane tree
Tearing eyes,Non-food allergy -- plane tree
Sinus pain,Non-food allergy -- olive tree
Conjunctivitis,Non-food allergy -- olive tree
Cough,Non-food allergy -- olive tree
Nose rubbing,Non-food allergy -- olive tree
Breathing difficulties,Non-food allergy -- olive tree
Headaches,Non-food allergy -- olive tree
Runny nose,Non-food allergy -- olive tree
Itchy throat,Non-food allergy -- olive tree
Shortness of breath or wheezing,Non-food allergy -- olive tree
Dark circles under eyes,Non-food allergy -- olive tree
Sneezing,Non-food allergy -- olive tree
Itching,Non-food allergy -- olive tree
Red eyes,Non-food allergy -- olive tree
Itchy eyes,Non-food allergy -- olive tree
Asthma,Non-food allergy -- olive tree
Tearing eyes,Non-food allergy -- olive tree
Nausea,Non-food allergy -- perfume
Watery eyes,Non-food allergy -- perfume
Loss of voice,Non-food allergy -- perfume
Itchy skin,Non-food allergy -- perfume
Skin redness,Non-food allergy -- perfume
Tingling lips,Non-food allergy -- perfume
Breathing difficulties,Non-food allergy -- perfume
Headaches,Non-food allergy -- perfume
Runny nose,Non-food allergy -- perfume
Shortness of breath or wheezing,Non-food allergy -- perfume
Joint pain,Non-food allergy -- perfume
Sneezing,Non-food allergy -- perfume
Muscle pain,Non-food allergy -- perfume
Hoarse voice,Non-food allergy -- perfume
Migraines,Non-food allergy -- perfume
Itchy eyes,Non-food allergy -- perfume
Skin rashes,Non-food allergy -- perfume
Asthma,Non-food allergy -- perfume
Sinus pain,Non-food allergy -- cypress tree
Conjunctivitis,Non-food allergy -- cypress tree
Cough,Non-food allergy -- cypress tree
Nose rubbing,Non-food allergy -- cypress tree
Breathing difficulties,Non-food allergy -- cypress tree
Headaches,Non-food allergy -- cypress tree
Runny nose,Non-food allergy -- cypress tree
Itchy throat,Non-food allergy -- cypress tree
Shortness of breath or wheezing,Non-food allergy -- cypress tree
Dark circles under eyes,Non-food allergy -- cypress tree
Sneezing,Non-food allergy -- cypress tree
Itching,Non-food allergy -- cypress tree
Red eyes,Non-food allergy -- cypress tree
Itchy eyes,Non-food allergy -- cypress tree
Asthma,Non-food allergy -- cypress tree
Tearing eyes,Non-food allergy -- cypress tree
Nausea,Duck allergy
Sore throat,Duck allergy
Watery eyes,Duck allergy
Eczema,Duck allergy
Itchy skin,Duck allergy
Breathing difficulties,Duck allergy
Sore eyes,Duck allergy
Red skin,Duck allergy
Runny nose,Duck allergy
Itchy throat,Duck allergy
Shortness of breath or wheezing,Duck allergy
Sneezing,Duck allergy
Swollen eyes,Duck allergy
Red eyes,Duck allergy
Itchy eyes,Duck allergy
Itchy nose,Duck allergy
Coughing,Duck allergy
Itchy skin,Peanut allergy
Light headedness,Peanut allergy
Lips,Peanut allergy
Around eyes,Peanut allergy
Tongue swelling,Peanut allergy
Malaise,Peanut allergy
Swelling of the face and around the eyes (angioedema),Peanut allergy
Breathing difficulties,Peanut allergy
Tachycardia,Peanut allergy
Itchy mouth and throat,Peanut allergy
Shortness of breath or wheezing,Peanut allergy
Itchy watery eyes,Peanut allergy
Hives (urticaria),Peanut allergy
Diarrhoea,Peanut allergy
Syncope,Peanut allergy
Itchy nose,Peanut allergy
Asthma,Peanut allergy
Sinus pain,Non-food allergy -- sagebrush
Conjunctivitis,Non-food allergy -- sagebrush
Cough,Non-food allergy -- sagebrush
Nose rubbing,Non-food allergy -- sagebrush
Breathing difficulties,Non-food allergy -- sagebrush
Headaches,Non-food allergy -- sagebrush
Runny nose,Non-food allergy -- sagebrush
Itchy throat,Non-food allergy -- sagebrush
Shortness of breath or wheezing,Non-food allergy -- sagebrush
Dark circles under eyes,Non-food allergy -- sagebrush
Sneezing,Non-food allergy -- sagebrush
Itching,Non-food allergy -- sagebrush
Red eyes,Non-food allergy -- sagebrush
Itchy eyes,Non-food allergy -- sagebrush
Asthma,Non-food allergy -- sagebrush
Tearing eyes,Non-food allergy -- sagebrush
